User id,Number of tweets before,Number of tweets after
424325663,4,3
2194170191,4,1
981241561,29,20
2247991128,6,36
79016248,1,1
887163673,2,3
551342130,1,1
73321602,1,1
2388930468,2,1
2431825502,1,4
301722800,1,1
16343811,1,1
50515050,1,2
119086409,1,1
214246683,1,2
1014445069,9,31
27741136,1,1
1587444475,2,1
79539293,1,1
608901706,1,1
1377757484,5,6
1626991292,1,2
1661225197,1,2
341082055,2,3
320524842,5,5
2656346300,1,20
595901043,9,23
805077980,1,1
16877999,8,10
589296889,1,8
1524736970,2,1
1922944374,2,6
148291255,1,5
17376144,1,2
126076133,5,1
1479429283,1,1
621557971,1,1
3562941,1,2
829247287,1,1
606341743,4,39
334202997,1,1
222689902,1,3
1259762245,1,3
952538612,1,4
25111426,3,2
31158126,1,1
21094961,1,1
150904297,2,4
415851069,1,3
26979282,1,5
105042008,3,3
271585190,1,2
334396889,1,1
253013319,2,1
1052354791,3,5
64732200,1,1
2484754416,7,2
14870774,1,1
380070785,1,1
230538613,5,12
1603861722,1,1
28302705,2,1
309477826,1,1
1241056748,13,3
29724452,2,3
291395638,1,2
2262277080,1,1
1565362448,1,1
468697911,5,1
26253762,2,3
449361492,1,1
1571737830,2,1
629775278,1,1
440335369,1,1
1854903776,1,1
261316830,1,2
17462501,3,4
2281686990,1,1
2314805372,2,1
99188666,2,1
334676782,1,1
2354588156,1,3
2457821562,14,20
1223761086,2,3
445179324,2,2
71292000,1,1
2388966428,1,1
598832244,3,4
1946346096,1,1
252794509,13,30
865998036,1,2
32889299,1,3
56320681,1,1
2173219496,6,8
790827643,1,6
15025627,2,3
72929454,1,1
210893384,2,1
2159967220,1,1
164560495,2,1
121904720,1,3
415188066,1,2
219154506,1,3
799389432,10,8
906094669,2,5
1977234992,1,1
599970464,1,1
61417738,2,1
374509526,1,3
881139798,3,1
1948599800,1,1
602113527,1,1
2208122732,1,1
24281645,2,6
275437584,7,5
2202836815,1,1
20109672,1,2
24605959,1,4
2392879892,2,1
45756757,1,1
89922542,4,3
2409697382,23,36
740043758,1,1
1584088442,1,1
722836302,1,1
47192829,2,9
268792181,1,2
129029780,2,1
466082261,1,2
585565860,1,1
2262427083,1,1
827956010,1,1
72448864,1,4
183588284,1,1
122299364,1,1
36539277,1,1
1940919079,5,1
257269240,1,4
1607392782,1,1
584739360,16,7
434491559,1,1
49506820,1,3
837579366,1,3
1407149995,39,16
2382163777,3,16
67394171,1,1
2292751524,1,1
2344352677,1,2
1194093302,2,1
19643860,1,1
2330990045,1,1
2532105670,1,1
417223029,1,1
129525984,1,1
554055347,1,8
2247428833,1,2
196827643,1,3
70053348,1,1
2564249664,1,1
1119840278,1,1
111984904,5,1
20594413,13,9
500660676,1,1
2444594996,1,1
921200976,1,1
2479461477,1,1
362154088,1,1
2645532860,5,8
2407516469,2,1
1192521151,1,1
606063812,16,13
139114290,1,1
146180721,1,7
15593696,1,3
114091143,1,2
390968423,4,3
1724077934,3,2
25152798,2,1
27258345,1,2
534452106,1,1
1640118266,1,1
1074977304,3,1
305529200,1,1
2483813340,1,2
573459961,15,15
1345693128,1,1
847987340,1,10
276917356,1,1
1146095960,1,1
275759599,1,1
405992220,1,1
82312640,2,1
25312051,1,1
43167845,1,2
1360255417,1,4
39528023,1,4
17398510,12,14
516805211,2,1
594181872,1,1
73928056,1,2
481107000,3,1
42034067,1,2
1593968102,1,3
356099288,1,1
2417726258,5,15
66394878,30,17
14248898,1,1
14722676,7,13
1954451150,4,4
26399465,1,1
193011427,1,1
402215659,1,1
2259372590,1,1
2348163314,1,1
985058725,2,1
1644052368,1,1
129553917,1,1
20849147,1,1
374177170,1,6
317895045,1,1
518787113,4,3
476188607,2,1
149760844,9,1
20130401,1,4
200346034,1,1
31511288,1,1
1653545204,1,1
419113148,2,3
14738750,16,26
1595564346,2,4
104019829,1,1
1495384686,4,6
35083521,1,2
237110370,1,1
19572929,1,1
2163699215,1,2
2335859390,1,22
376045303,1,1
2289044043,1,1
2469959371,1,1
44254939,1,1
18569055,1,2
19767193,2,4
1569649470,7,8
1389147636,5,1
354572048,1,1
269000185,1,1
870546853,1,1
34616889,3,2
1273958300,1,1
15392053,1,5
702128796,1,3
630591565,1,1
168722699,1,1
319624605,2,1
1325787799,2,1
720585852,2,3
182958867,3,1
447546645,1,1
1489020840,4,4
220260558,13,9
30183781,1,3
24420150,1,1
212233838,1,3
536589029,1,2
22733375,1,1
1096502293,1,1
1431252176,3,2
80194900,2,3
297784850,1,1
749255479,1,1
862551126,2,2
48174818,4,1
110336491,3,5
152186323,1,5
111576048,2,3
370985828,2,2
339050867,1,2
844001984,1,2
228189799,1,1
1232647776,32,15
154091776,1,1
72170442,2,2
2613521915,2,1
371386422,1,1
176335256,1,2
2237005537,1,1
903428256,2,2
768764936,3,5
112996612,2,1
1450132531,1,2
14730487,1,1
377642423,1,1
473169001,1,3
626675608,1,5
2368960458,2,4
334760572,2,1
191379318,1,1
254787941,2,8
